PA	0595	PARAUAPEBAS	28	Encargos Especiais	845	Outras Transferências	0903	Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica	0547	Transferências de Cotas-Partes da Compensação Financeira pela Exploração de Recursos Minerais (Lei nº 8.001, de 1990 - Art.2º)	CFEM	22980999000115	MUNICIPIO DE PARAUAPEBAS [PREFEITURA MUNICIPAL DE PARAUAPEBAS]	STN - Transferências a Municípios	 	 	29108693,15
AP	0611	FERREIRA GOMES	28	Encargos Especiais	845	Outras Transferências	0903	Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica	0547	Transferências de Cotas-Partes da Compensação Financeira pela Exploração de Recursos Minerais (Lei nº 8.001, de 1990 - Art.2º)	CFEM	23066814000124	MUNICIPIO DE FERREIRA GOMES [PREFEITURA MUNICIPAL DE FERREIRA GOMES]	STN - Transferências a Municípios	 	 	6966,08
PA	0621	IPIXUNA DO PARA	28	Encargos Especiais	845	Outras Transferências	0903	Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica	0547	Transferências de Cotas-Partes da Compensação Financeira pela Exploração de Recursos Minerais (Lei nº 8.001, de 1990 - Art.2º)	CFEM	83268011000184	MUNICIPIO DE IPIXUNA DO PARA [PREFEITURA MUNICIPAL DE IPIXUNA DO PARA]	STN - Transferências a Municípios	 	 	437445,80
PA	0625	BREU BRANCO	28	Encargos Especiais	845	Outras Transferências	0903	Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica	0547	Transferências de Cotas-Partes da Compensação Financeira pela Exploração de Recursos Minerais (Lei nº 8.001, de 1990 - Art.2º)	CFEM	34626440000170	MUNICIPIO DE BREU BRANCO [MUNICIPIO DE BREU BRANCO]	STN - Transferências a Municípios	 	 	245,69
MG	0696	REDUTO	28	Encargos Especiais	845	Outras Transferências	0903	Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica	0547	Transferências de Cotas-Partes da Compensação Financeira pela Exploração de Recursos Minerais (Lei nº 8.001, de 1990 - Art.2º)	CFEM	01614977000161	MUNICIPIO DE REDUTO [PREFEITURA MUNICIPAL DE REDUTO]	STN - Transferências a Municípios	 	 	1975,74
MG	0730	SARZEDO	28	Encargos Especiais	845	Outras Transferências	0903	Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica	0547	Transferências de Cotas-Partes da Compensação Financeira pela Exploração de Recursos Minerais (Lei nº 8.001, de 1990 - Art.2º)	CFEM	01612509000158	MUNICIPIO DE SARZEDO [GABINETE DO PREFEITO - SARZEDO]	STN - Transferências a Municípios	 	 	371135,36
RJ	0782	SAO FRANCISCO DE ITABAPOANA	28	Encargos Especiais	845	Outras Transferências	0903	Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica	0547	Transferências de Cotas-Partes da Compensação Financeira pela Exploração de Recursos Minerais (Lei nº 8.001, de 1990 - Art.2º)	CFEM	01623783000122	MUNICIPIO DE SAO FRANCISCO DE ITABAPOANA [PREFEITURA MUNICIPAL DE SAO FRANCISCO DE ITABAPOANA]	STN - Transferências a Municípios	 	 	1661,71
MA	0783	GODOFREDO VIANA	28	Encargos Especiais	845	Outras Transferências	0903	Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica	0547	Transferências de Cotas-Partes da Compensação Financeira pela Exploração de Recursos Minerais (Lei nº 8.001, de 1990 - Art.2º)	CFEM	06157051000108	MUNICIPIO DE GODOFREDO VIANA [PREFEITURA MUNICIPAL DE GODOFREDO VIANA]	STN - Transferências a Municípios	 	 	9233,48
PR	0870	PONTAL DO PARANA	28	Encargos Especiais	845	Outras Transferências	0903	Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica	0547	Transferências de Cotas-Partes da Compensação Financeira pela Exploração de Recursos Minerais (Lei nº 8.001, de 1990 - Art.2º)	CFEM	01609843000152	MUNICIPIO DE PONTAL DO PARANA [PREFEITURA MUNICIPAL DE PONTAL DO PARANA]	STN - Transferências a Municípios	 	 	1146,11
MA	0889	SAO JOSE DE RIBAMAR	28	Encargos Especiais	845	Outras Transferências	0903	Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica	0547	Transferências de Cotas-Partes da Compensação Financeira pela Exploração de Recursos Minerais (Lei nº 8.001, de 1990 - Art.2º)	CFEM	06351514000178	MUNICIPIO DE SAO JOSE DE RIBAMAR	STN - Transferências a Municípios	 	 	2614,00
MA	0921	SAO LUIS	28	Encargos Especiais	845	Outras Transferências	0903	Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica	0547	Transferências de Cotas-Partes da Compensação Financeira pela Exploração de Recursos Minerais (Lei nº 8.001, de 1990 - Art.2º)	CFEM	06307102000130	MUNICIPIO DE SAO LUIS	STN - Transferências a Municípios	 	 	4593,32
MA	0959	PAULO RAMOS	28	Encargos Especiais	845	Outras Transferências	0903	Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica	0547	Transferências de Cotas-Partes da Compensação Financeira pela Exploração de Recursos Minerais (Lei nº 8.001, de 1990 - Art.2º)	CFEM	06029524000191	MUNICIPIO DE PAULO RAMOS [PAULO RAMOS PREFEITURA GABINETE DO PREFEITO]	STN - Transferências a Municípios	 	 	110,55
RS	0972	CRISTAL DO SUL	28	Encargos Especiais	845	Outras Transferências	0903	Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica	0547	Transferências de Cotas-Partes da Compensação Financeira pela Exploração de Recursos Minerais (Lei nº 8.001, de 1990 - Art.2º)	CFEM	01610515000176	MUNICIPIO DE CRISTAL DO SUL [PREFEITURA MUNICIPAL DE CRISTAL DO SUL]	STN - Transferências a Municípios	 	 	48,68
